,precision,recall,f1-score,support
abraham_grampa_simpson,0.94,0.9791666666666666,0.9591836734693877,48.0
apu_nahasapeemapetilon,1.0,0.98,0.98989898989899,50.0
bart_simpson,1.0,0.9387755102040817,0.968421052631579,49.0
charles_montgomery_burns,1.0,0.94,0.9690721649484536,50.0
chief_wiggum,1.0,1.0,1.0,47.0
comic_book_guy,0.8392857142857143,0.94,0.8867924528301886,50.0
edna_krabappel,0.9583333333333334,0.92,0.9387755102040817,50.0
homer_simpson,0.96,0.9795918367346939,0.9696969696969697,49.0
kent_brockman,0.9387755102040817,0.9583333333333334,0.9484536082474228,48.0
krusty_the_clown,0.96,0.96,0.96,50.0
lenny_leonard,0.98,0.98,0.98,50.0
lisa_simpson,0.9423076923076923,0.98,0.9607843137254902,50.0
marge_simpson,1.0,0.9591836734693877,0.9791666666666666,49.0
mayor_quimby,0.9607843137254902,0.98,0.9702970297029702,50.0
milhouse_van_houten,0.9607843137254902,0.98,0.9702970297029702,50.0
moe_szyslak,1.0,0.98,0.98989898989899,50.0
ned_flanders,0.96,0.96,0.96,50.0
nelson_muntz,0.8135593220338984,0.96,0.8807339449541285,50.0
principal_skinner,0.9534883720930233,0.82,0.8817204301075269,50.0
sideshow_bob,0.9534883720930233,0.82,0.8817204301075269,50.0
micro avg,0.9533941236068896,0.9505050505050505,0.9519473950429945,990.0
macro avg,0.9560403471900875,0.9507525510204082,0.9522456628396672,990.0
weighted avg,0.9558816122926052,0.9505050505050505,0.9520334379669074,990.0
